name,adresse
Dilwala indisches Restaurant,
Restaurant China Haus,
Pizza Griebnitzsee,
Mmaah! - Eat Korean Potsdam,
Burger City | Potsdam,
Smiley's Pizza Profis,
Pipasa,
Mercan,
Burgermeister Potsdam Hbf,
WORLD OF PIZZA,
Schmäcks Potsdam,
Jasma Falafel Store,
immergrün,
Sushi Yana,
O'Tacos,
Espresso House,
Yana Bowls,
NORDSEE,
Peter Pane,
Moco Chicken | Potsdam Babelsberg,
Divan Döner,
Apotheke im Bahnhof,
Dunkin',
MA'LOA - Poké Bowl,
Haferkater Potsdam Hbf,
Pommes Freunde,
Bok Bok Chicken,
L'Osteria Pots­dam,
Glück's Pizzeria,
Asia Sushi Bar,
Pizzeria Pipasa,
Pizzeria Melody,
Mayas's,
Sushi For You,
Orient Food,
Papa Nô - Potsdam,
Imbiss Tyrus,
Mago Berlin,
Long Hai,
DaDa Noodle,
Pizzeria Nr. 1,
Crazy Tea,
A Slice of Britain,
FRIEDRICH BURGER,
Napule e,
Old Town Hanoi,
Smash Burger by Craddock,
dean&david,
Pizzeria Centrale Antipasteria,
Brahmii - Eis & Macaron Manufaktur,
Trattoria Amalfi,
Teehaus Bamboo 茶馆,
Burger & Buns,
Domino's Pizza,
PIA PIZZA,
Deli Potsdam,
Fancy Donuts,
Café Alice,
Kimono Sushi & Bowls,
Bagels & Coffee,
Tou Bakali,
Seoul Garden Potsdam,
Pizza Max,
Das kleine Holländische (Café & Laden),
Wow Falafel Potsdam,
McDonald's®,
G - mama Restaurant,
Masala Haus,
Bussi&Amore,
El Amir,
Sager Indische&Singapurische Spezialitäten,
Yoko Sushi,
The Best Hot Dog,
Bobby's Pizza,
Kichi Sushi Bar and More,
Tamada Restaurant,
Nova Brunch&Bar,
Ristorante Steakhaus El Baron,
POMPOM chicken joy,
La Trattoria,
La Tostina,
Max Burger I Potsdam Alt Nowawes,
Sushi Bar Asia Tran,
Asia Thai Bistro,
Spätkauf Potsdam,
Bistro Femo,
John Barnett Schiffsrestaurant,
SHOOTERS Schnitzel Burger | Bites,
Osteria Nr. 1,
Don Yoko,
CODE RED | Spicy Streetfood,
GoDumpling,
BURGER KING ®,
Linden Burger,
Tele Pizza,
Food Home Döner Pizza Burger,
Addy's Bistro,
REWE Express,
Ruffs Burger Potsdam-West,
Da Pazzi,
Anas Food,
Alieman Arabische Lebensmittel,
Sagar Tikka Haus Potsdam,
Thai-Nippon Sushi-Bar,
Koco Chicken | Potsdam-Babelsberg,
Anh Tai-China-Thai-Sushi-Bistro,
Flink,
Kashmir Haus,
Weinfreunde,
Kiosk,
IQOS,
BROT MANUFAKTUR,
The Ben & Jerry's Shop,
Coffee Nerds Café und Catering,
Loco Chicken I Potsdam-Babelsberg,
Gartenlokal Onkel Oskar,
Call a Pizza,
Cha Thai bubble Tea,
Lo Spuntino,
Philip Viet,
Smash House,
Deluxe Food,
Balcone Fusion Kitchen,
Ristorante Valentinos,
Piazza Toscana,
Kebap Time by Özi,
SchmackoFatz Steglitz,
Fiesta Mexicana,
Sando Street Burger,
Ayu Sushi Potsdam,
Funa Sushi,
Pizzeria Kasongo,
Eiche Pizzeria,
Chicken Gang,
Bapu,
Mr. Phung Sushi-Bar & Asia Küche,
Glück's Pizzeria Michendorf,
Bowl in,
Sagar Grillhaus,
Bella Italia,
Ruff's Burger,
